Subject Common Name,Subject Org Name,Country Name,Org Unit Name,Validity Period,Key Signature,Serial Number,SHA1,SHA2,Issuer Subject Common Name,Issuer Subject Org Name,Issuer Country,Issuer Org Unit Name
test-api.thawte.com,Symantec Corporation,US,Infrastructure Operations,2018-09-06 => 2020-08-30,RSA 2048 / sha256WithRSAEncryption,66497d5112632e9287fb17962612fc43,006EE67FE44EAC491295990BB957E14A2E24A55B,FF6437A9913BFB2E43BA0FDBF3B4F12B92808FE9D6215C28702145A750B8369A,thawte EV SSL CA - G3,"thawte, Inc.",US,
National University of Singapore CA,National University of Singapore,SG,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-09-09 => 2020-09-08,RSA 2048 / sha1WithRSAEncryption,7aa9dfc38285c28a1be5c40630ae93cb,F68D4A9715E8B2745562ADAD339F3BDFE651DFCE,C7AF67FF082E57B203C0E9501C62BDBBC10339CB8BD89E4F91E8827DF826E7DD,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Certisign Autoridade Certificadora Classe 2 - G3,Certisign Certificadora Digital S.A.,BR,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-09-22 => 2020-09-21,RSA 2048 / sha256WithRSAEncryption,5352527d85870697b6462627afa184bd,7792BCDE97347F9D7417659FEDC29C0E8343A162,BEA5661071DAC98C61BE6870B2A70A7A95B45D1623EE38025149967BFFB6D8F9,Certisign Class 2 CA - G3,Certisign Certificadora Digital S.A.,BR,Symantec Trust Network
i3twpusldap02p.i3.cibc.com,Canadian Imperial Bank of Commerce,CA,INTRIA,2018-09-25 => 2020-09-23,RSA 2048 / sha256WithRSAEncryption,0469711d254dd1ffa1e86c766bd31751,93A83964931720F7608AFC672C859E3F7226519A,2FEFDA7CB8332AF75B4AC897382EE7F3BEA371B11363146CDE3F9FB173FA5F3E,Symantec Class 3 Secure Server CA - G4,Symantec Corporation,US,Symantec Trust Network
i3twpusldap01p.i3.cibc.com,Canadian Imperial Bank of Commerce,CA,INTRIA,2018-09-25 => 2020-09-23,RSA 2048 / sha256WithRSAEncryption,46d34d688c37367a8312c2ee5a313b97,2486DED6CDA9345B6660F5542234341F374868FE,0D758AFC6146F726F4216F4A487BD0456BE991337646B94B5F3BC72270A30D5B,Symantec Class 3 Secure Server CA - G4,Symantec Corporation,US,Symantec Trust Network
icsunix.eft.fiserv.net,Fiserv,US,,2018-09-26 => 2020-09-26,RSA 2048 / sha256WithRSAEncryption,4d4647a69dc459faaadfd0a76d663337,33BBFA47D9429D77CE263A39F0FD44E63DDF247E,AD4B74544FDE4F5ABB7D1529519DD655D058E7F625B10BA3C0A977FE928929EE,thawte SSL CA - G2,"thawte, Inc.",US,
pbatch01.eft.fiserv.net,Fiserv,US,,2018-09-26 => 2020-09-26,RSA 2048 / sha256WithRSAEncryption,2d861cc485d3f2f6f5a8869e746fb099,224E71E0E3BE1DC76161EF14334EAECB04183B60,4474756749910E7939DB8EBC704E0968EE3E63F16CEF866F0CCAF97C55F663C2,thawte SSL CA - G2,"thawte, Inc.",US,
WIPO CA - G2,World Intellectual Property Organization,CH,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 1 Managed PKI Individual Subscriber CA",2010-09-28 => 2020-09-27,RSA 2048 / sha1WithRSAEncryption,25ae2b6bf299a2670dacdb55411289fc,35CC7A224C67A664E56E4DE4D1C12168E533CA8B,FA073D67B4229BD063FEC770E272EF256C196D4B1D720059818826ED02AC7811,VeriSign Class 1 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
WIPO CA - G2,World Intellectual Property Organization,CH,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 1 Managed PKI Individual Subscriber CA",2010-09-28 => 2020-09-27,RSA 2048 / sha256WithRSAEncryption,51677ac886d7fdddc930bf8621b04658,54E00CB4D4D3A5388E6FA3756CC807AF20D6A96D,5C1115A78C98B9B40A232DE8CCA58CDE880DD73835D40EA15F4E3FA6B4E2B286,VeriSign Class 1 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Federal Bridge CA G4,U.S. Government,US,FPKI,2020-01-21 => 2020-09-30,RSA 2048 / sha256WithRSAEncryption,20dc95b843eab823eef1a31b6ad372bd,6F9830730374438B333D78876C1F830304D49451,DF6CEBBE6DBA16D45EF3F38FE8878B0493F5148603CE2740A825DF2F80EDAB4F,CertiPath Bridge CA - G2,CertiPath LLC,US,Certification Authorities
*.advam.com,,,,2018-07-25 => 2020-10-01,RSA 2048 / sha256WithRSAEncryption,15fdfc0bb0976767a7fe7c2ae59f6c0e,0AFE9FE9162213282B6C562FC0998BF4C9A7C8C1,A8BB5E681848D6CD560F60250E4BED3E8DAC3F271555F957B36CC62325D16287,GeoTrust DV SSL CA - G3,GeoTrust Inc.,US,Domain Validated SSL
CloudFlare Inc ECC CA-2,"CloudFlare, Inc.",US,,2015-10-14 => 2020-10-09,EC 256 / sha256WithECEncryption,0ff3e61639aa3d1a1265f41f8b34e5b6,6B53C3B358CEF368201F8741B9C5AEDEEA3861FA,6172D7A1996CBEF71A0182DD44B99E9C035742A9EBD0311AA73AA4733344C5A6,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
*.shanghaionstar.com,"Shanghai Onstar Telematics Co., Ltd.",CN,IT,2018-07-17 => 2020-10-10,RSA 2048 / sha256WithRSAEncryption,377be56ae714fc6eb0bbab9aa9b0bd8e,F4DB15F596B6A6175DF90D2EAC2E012D381DC1A8,C80298D258ACD1C5E457C9CD89ADE644C129E38259EAC0BF6C9F6AEFA958A4C6,GeoTrust SSL CA - G3,GeoTrust Inc.,US,
Bridgewater Associates CA,"Bridgewater Associates, LP.",US,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-10-12 => 2020-10-11,RSA 2048 / sha1WithRSAEncryption,650d6a1364244f149b658e2d4569e6a0,CA9B0F00A1FF141D89DC3AF4D1E570EB4DC1E453,D8E79EBED997B764E6D0DF624F2DBB4EFF2A1B6049C6F1A1A1E88263C43DB221,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Oracle SSL CA,Oracle Corporation,US,"VeriSign Trust Network,Class 3 MPKI Secure Server CA",2010-10-12 => 2020-10-11,RSA 2048 / sha1WithRSAEncryption,2585c838a4c935e383866b6ba2422fc7,4BE80AAC6590EEFE5008A5A1DD33406654BA322A,7F6889FFE8B02045E2CAC99A2F2EE4F4C2EED24934B6521872D34BF812671C4B,VeriSign Class 3 Public Primary Certification Authority - G5,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 2006 VeriSign, Inc. - For authorized use only"
CloudFlare Inc RSA CA-1,"CloudFlare, Inc.",US,,2015-10-14 => 2020-10-14,RSA 2048 / sha256WithRSAEncryption,060dd6c1d067901b5475fcffc29e3137,2AA2B8A223DA08798599B54DE4121757ABA33341,328C5991D8383E27D0EBE910BF66C0AF3D748A85D3011A52D88F1D8C8635647F,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
updates-talos.sco.cisco.com,"Cisco Technology, Inc.",US,TALOS - Cisco - SBG Production Operations,2018-10-22 => 2020-10-14,RSA 2048 / sha256WithRSAEncryption,20145639a8a36070676faa10988dc4b9,5548741127F1187A803A8EF9A9FDBA9F35A69B56,9ED5FC73AC0E5B34E93A370D9C9A14F4C17E6D82F2F1C5FB4E81D27BA227297C,thawte SSL CA - G2,"thawte, Inc.",US,
ops-updates-vip.vega.ironport.com,"Cisco Technology, Inc.",US,TALOS - Cisco - SBG Production Operations,2018-10-22 => 2020-10-14,RSA 2048 / sha256WithRSAEncryption,6251e0d8e2d9b53b6181d0fc35910415,DC64C9A4F4192CE2800AD375BEE81463841F25FA,3276E471CF3F550B19CFA6C1CDA90B856C6535F2E377DE7F4EE19CDDB5F80477,thawte SSL CA - G2,"thawte, Inc.",US,
stage-updates-talos.sco.cisco.com,"Cisco Technology, Inc.",US,TALOS - Cisco - SBG Production Operations,2018-10-22 => 2020-10-14,RSA 2048 / sha256WithRSAEncryption,0c5f8c3ec4490f6bc8b3f367023e0b1a,B8B709B3CE19BEE22D8562C91D4670877D8BB227,EB510C1529163851EFAD76BE604A2836CE3C4EDC659FA8E52CCA807D803E3848,thawte SSL CA - G2,"thawte, Inc.",US,
api.ws.symantec.com,Symantec Corporation,US,Infrastructure Operations,2018-11-27 => 2020-10-16,RSA 2048 / sha256WithRSAEncryption,52b002040208cfafb9f61bb12e1fb753,DAA24E739778FC69E61224B24F14792F29274763,8728803FE2F75F2154D8BB91A958E85140CCBFD09F9947184B0EEBDB55695C64,Symantec Class 3 EV SSL CA - G3,Symantec Corporation,US,Symantec Trust Network
vhq2-cst-tst.vfims.com,"VeriFone, Inc.",US,IT,2019-10-10 => 2020-10-19,RSA 2048 / sha256WithRSAEncryption,43dc88b52757f34cba5c2c8185e7240a,96B27274E2E4CAB86E913890449B39EE5F5BDF1D,9E6C318F105FD035D5E9CE27AF4D80CDD9B3E8F62C0B508A397AEBA8B65FD742,thawte SHA256 SSL CA,"thawte, Inc.",US,
Certisign Class 2 Managed PKI Individual Subscriber CA - G2,Certisign Certificadora Digital S.A.,BR,"VeriSign Trust Network,Terms of use at https://www.certisign.com.br/rpa (c)10",2010-10-21 => 2020-10-20,RSA 2048 / sha256WithRSAEncryption,2c8cec51a1764dfd8544bb8a5ace5007,1517C32AAE7AEF369032ED38A35C51CE1A171A38,6282AAF5FEDEB9DA88E18B6901C4044C65D4B761428EA1283A4E7A12B12F69B4,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
vhq2.vfims.com,"VeriFone, Inc.",US,IT,2019-10-10 => 2020-10-20,RSA 2048 / sha256WithRSAEncryption,761460c2831465c85019451c08b02e78,A49ED6FEB961FCF92F8206838FDB4AF1910CE425,79579F80B3B2E6E6FE28A418A40D9DEDE925B884D70FBC5096C651D0514F2260,thawte SHA256 SSL CA,"thawte, Inc.",US,
api.geotrust.com,Symantec Corporation,US,Infrastructure Operations,2018-11-27 => 2020-10-23,RSA 2048 / sha256WithRSAEncryption,4b03faaada3985bfdbdf4dcad2dcbcc5,392FCE7E2FFDAC13FBBD9F93390688006BAE4C54,CF2E92E4DF6C303A17D56A7FE3254DAE10D4138CCD7DEED743BE50FF36570D07,GeoTrust EV SSL CA - G4,GeoTrust Inc.,US,
api.thawte.com,Symantec Corporation,US,Infrastructure Operations,2018-11-27 => 2020-10-23,RSA 2048 / sha256WithRSAEncryption,53496c1ac3bfd227a014facfe1d363fd,DF09F66CC33A5A28C41246F231EDFD74D0483165,D77EDBE21C7998190B23B61A536B9B2858AE2C1F11494A617EC83104EEDD2E97,thawte EV SSL CA - G3,"thawte, Inc.",US,
Certisign Class 1 Consumer Individual Subscriber CA - G2,Certisign Certificadora Digital S.A.,BR,"VeriSign Trust Network,Terms of use at https://www.certisign.com.br/rpa (c)10",2010-10-27 => 2020-10-26,RSA 2048 / sha256WithRSAEncryption,635e079cacd196323ecc0f0caaf9a79b,5E518C25D5670CCFF31D598158816F8E2BB847C7,71288CDC38F662246942BEB3219AC6D0F04E93B7E35F935CE9E9CE71B83ED407,VeriSign Class 1 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
VZ Cybertrust Client CA G2,Verizon Nederland B.V.,NL,,2020-07-17 => 2020-10-31,RSA 2048 / sha256WithRSAEncryption,08c98b3a150f3b27ba48c9b042d621da,9A870E000CD622022BF8479F0532CBC574CA5DCE,0444C5C6C2C5FD52F8E7B327B557EF27BE25657A09349F0D8449471395553607,Baltimore CyberTrust Root,Baltimore,IE,CyberTrust
CertiPath Bridge CA - G2,CertiPath LLC,US,Certification Authorities,2010-11-04 => 2020-11-03,RSA 2048 / sha256WithRSAEncryption,42f4670e392a722b3ece4568405f8539,909DA9D7DB6BAACC65713998CF8F07CD8FAEA918,4AC81A7B831AD5679FA44BD62AC2066F6A5DECCCE42E8CB9A7A74C7689009104,CertiPath Common Policy Root Certification Authority - G2,CertiPath LLC,US,Certification Authorities
CertiPath Bridge CA - G2,CertiPath LLC,US,Certification Authorities,2010-11-04 => 2020-11-03,RSA 2048 / sha256WithRSAEncryption,7e50302acd5d8070ba5510238bce3179,85A8F9C699CA937882AA55FD9748686858B1716C,9E89DDF719452FDC13E2FB3F74ECF1189AD5C96A192D31E4F89DC71589FFFAD8,CertiPath Common Policy Root Certification Authority - G2,CertiPath LLC,US,Certification Authorities
SCF Arizona CA,SCF Arizona,US,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-11-11 => 2020-11-10,RSA 2048 / sha1WithRSAEncryption,74e69e47b90da8cd2b901612b724801b,03FDCD1D7A165E8346D45699CB2D4CF47208B311,BE3A962B7AF931D7ADFAF7452FE85270020EF853A5DD334AED80D29E892F0391,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
Florida HIE Exchange CA G2,Harris Corp,US,Florida HIE,2015-11-11 => 2020-11-11,RSA 2048 / sha256WithRSAEncryption,06ce2dfa816dd5c861da666e53983cc3,846A22611BF77922A3C223461F346D58D79D1E5D,AB8EE98A4B2B97E5905ECE80A64304C143AB38D9508FF7286F68235E0DB68A27,DigiCert Assured ID Root CA,DigiCert Inc,US,www.digicert.com
Autoridad Certificante Banco Santander Rio - Empleados G2,Banco Santander Rio S.A.,AR,"Symantec Trust Network,Class 2 Managed PKI Individual Subscriber CA",2015-11-19 => 2020-11-18,RSA 2048 / sha256WithRSAEncryption,4a011d4fd833af159925560f5e421880,C62D65940A0104A9DF10891E9EF327CF5DF44630,4100F6070323E58BB5159290C24D3005601F875687665B48EC4DF65E3F1A8AC2,CertiSur Class 2 CA - G3,CertiSur S.A.,,Symantec Trust Network
DigitalSign CA,DigitalSign - Certificadora Digital,PT,"PT507015851,VeriSign Trust Network,Terms of use at https://www.trustwise.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2014-12-16 => 2020-11-29,RSA 2048 / sha256WithRSAEncryption,3b41f45edb408cf594e5725e146f8ca3,EE30FB6D6F3BD139D21BAB64C982C10C720BCA9B,086D6E110DD75C37EA9F0530A93B67453733E4EF38DC53FC2C8077DB75267971,BT Class 2 CA - G3,British Telecommunications plc,GB,Symantec Trust Network
CDC Secure Data Network CA G2,CDC,US,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-11-30 => 2020-11-29,RSA 2048 / sha256WithRSAEncryption,298a747d8d4e7c7329a66cac68065200,334D3FCE4B84BB594A2FB6BC09A3E09977A58AD0,70A0FE0EDCB4898E5BB09DF8FC6B8978E02A287EDB10175870E81E1491340C5C,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
DigitalSign CA,DigitalSign - Certificadora Digital,PT,"PT507015851,VeriSign Trust Network,Terms of use at https://www.trustwise.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2014-12-16 => 2020-11-29,RSA 2048 / sha256WithRSAEncryption,024c340b31b0f20b12728583946032db,EA3C86D0F304DA6B66C8EFAB9C27108D421A9A88,5F15E4C27AB2854A20F7A90368702A697BBA3088579B2C0F65B369CFAF1847E8,BT Class 2 CA - G3,British Telecommunications plc,GB,Symantec Trust Network
*.sds.cisco.com,Cisco Technology Inc.,US,TALOS - Security Cloud Operations,2018-11-13 => 2020-11-30,RSA 2048 / sha256WithRSAEncryption,5d1f27839bea39f08329a2e9e943c35b,5307748DB4F1057ED4C7EC1AC2CC94ABDB48EFA0,E3FB8FC8AB6B6BE864C51DB6B30D3308350C620E697BD6C2FDA9A105E7256D92,GeoTrust SSL CA - G3,GeoTrust Inc.,US,
ARINC Public CA - G2,ARINC Incorporated,US,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-12-02 => 2020-12-01,RSA 2048 / sha1WithRSAEncryption,0a41e2d91389e2c4b7aebd2c1cde1e00,B5F72C2AA20E465C886515FCA6D9366F66659986,8A8D4CA774F54964578B371ABD8B055937E8B7A0CDB659A3150EB6488930E661,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
GREEN SHIELD CANADA CA,GREEN SHIELD CANADA,CA,"VeriSign Trust Network,Terms of use at https://www.verisign.com/rpa (c)10,Class 2 Managed PKI Individual Subscriber CA",2010-12-02 => 2020-12-01,RSA 2048 / sha256WithRSAEncryption,2f463f154cfdbd1f22ce07f0edf64003,706181AA6211459475AC2B7B24FFB892CC878878,6A7146319034A1F380E6B32A8FAC0069EB1D332477F4EAD33762F8A614A552F2,VeriSign Class 2 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
pilot-api-appsec-cws.ws.symantec.com,"DigiCert, Inc.",US,Infrastructure Operations,2018-12-11 => 2020-12-03,RSA 2048 / sha256WithRSAEncryption,38dcec995a5fac6c933bf1f173d3624c,9B38FC2A41824565910F831FF194D66FC6712814,47948AA361B70AB74B4ECC06362FBD7C0BB0116B445147D05830624FB48B1728,Symantec Class 3 EV SSL CA - G3,Symantec Corporation,US,Symantec Trust Network
api-appsec-cws.ws.symantec.com,"DigiCert, Inc.",US,Infrastructure Operations,2018-12-11 => 2020-12-03,RSA 2048 / sha256WithRSAEncryption,542355d25e37217051692f3d310e5a4a,A1A0013B08F70796D9C7BC249B6B7B87AB0F508A,83E828480762527B6B942BE5C861526A0F63290DD4A3662AC32DD539EE41BC97,Symantec Class 3 EV SSL CA - G3,Symantec Corporation,US,Symantec Trust Network
EID Passport LRA Content Signer CA 1,"EID Passport, Inc.",US,,2013-06-25 => 2020-12-04,RSA 2048 / sha256WithRSAEncryption,684e5892724de19748d7f07fa994579f,16D00C425674A8B545821EA064F0222D44B4FA9D,27E94347839EBEC763EC441C250AE7E9754BD15C25C47D74EB3C7378D647E453,VeriSign Class 3 SSP Intermediate CA - G2,"VeriSign, Inc.",US,VeriSign Trust Network
RAPIDGate-Premier CA,"Eid Passport, Inc.",US,,2017-08-31 => 2020-12-04,RSA 2048 / sha256WithRSAEncryption,3c3fe36894d0802c73cb31dd3131490b,9C65E164D3B67D9D1C07D2B60C770756A715B1EB,37C5BC1E7EE318A7B275D72B00CE8BD631CDB7CE516BA43910E028EDCAC11C9C,Symantec Class 3 SSP Intermediate CA - G3,Symantec Corporation,US,Symantec Trust Network
RAPIDGate-Premier Device CA,"Eid Passport, Inc.",US,,2017-08-31 => 2020-12-04,RSA 2048 / sha256WithRSAEncryption,7f70e7ca4d45ea30d19abf0053132f6d,E4B64E107921BDF946DC58BD3E2D318E7C7EF36E,91346F838DCD82BDD8F2355F1AC358B132D902BC889E283990B105402F34C7FE,Symantec Class 3 SSP Intermediate CA - G3,Symantec Corporation,US,Symantec Trust Network
nps11-prod.cc.nd.edu,University of Notre Dame,US,Identity and Access Management,2019-12-09 => 2020-12-05,RSA 2048 / sha256WithRSAEncryption,18e9da3185eb1d35361d121b6604c39f,7B5DD5EA3007CC30D40EF28632C5BDA8C8DAA21B,78914D04942E9A2D82CC9DED944BA2B0A80DAE43F2662962DEC5C04BCD3A25FE,GeoTrust SSL CA - G3,GeoTrust Inc.,US,
femto.celcom.com.my,Celcom Axiata Berhad,MY,,2019-12-05 => 2020-12-07,RSA 2048 / sha256WithRSAEncryption,59d656a9106f81c57be09fb93cf93f9e,952847D6DBD7E8B466263448A5353D6E0BAC49D3,57D45FFACFFC9BA6811F67F85F6ED2250A1D0BE925623F1207D1E515F8D5AA9B,Symantec Class 3 Secure Server CA - G4,Symantec Corporation,US,Symantec Trust Network
femto.celcom.com.my,Celcom Axiata Berhad,MY,,2019-12-09 => 2020-12-07,RSA 2048 / sha256WithRSAEncryption,5fcd141e05a7668e5cfab42da703d955,1BD3275CC7FB057C0F971CA3C0BD86FD128F6578,C42F8C5D3510270A8C742C9B2D6CC54FCB20E8C4C85EF7859F84F785623065B7,Symantec Class 3 Secure Server CA - G4,Symantec Corporation,US,Symantec Trust Network
femto.celcom.com.my,Celcom Axiata Berhad,MY,,2019-11-14 => 2020-12-07,RSA 2048 / sha256WithRSAEncryption,38ad7c4307fb1112d9bafd74ef619b05,85445C215F190E26D54390166FAB0BEA802180EF,425294432BC2EF614EF9B08B137C046F277885016380B5AC323A506DED70E7B8,Symantec Class 3 Secure Server CA - G4,Symantec Corporation,US,Symantec Trust Network
DigiCert Universal Root OCSP Responder 8,DigiCert Inc.,US,,2019-11-21 => 2020-12-14,RSA 2048 / sha256WithRSAEncryption,7c61bb177b9a4900c6c41f6de06706d0,7832C82709873622D84AE5CC1DE7F581E50F2BAA,BA51B77C50D2A3ADC82A7BA30D1786AE7187B60AAACC63E44B819CCD2CC6C8A7,VeriSign Universal Root Certification Authority,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 2008 VeriSign, Inc. - For authorized use only"
GeoTrust Primary Certification Authority - G2 OCSP Responder 8,DigiCert Inc.,US,,2019-11-21 => 2020-12-14,EC 256 / sha384ecdsaWithECEncryption,2c6bdab14a7b3affda693b676ec9a26c,A131870900951EEE8F0CFA12F65A97C4B39DE9BE,9C288F9B69B690C76EF9BDA09A49B4B438431028FF884762C6BDE91B4CEDFD5F,GeoTrust Primary Certification Authority - G2,GeoTrust Inc.,US,(c) 2007 GeoTrust Inc. - For authorized use only
DigiCert Class 1 PCA - G6 OCSP Responder Certificate 4,DigiCert Inc.,US,,2019-11-21 => 2020-12-14,RSA 2048 / sha256WithRSAEncryption,57160cc632dd1fefb68dee83b9fde3c1,0DCA77559A7D2C2FA32077056EB7E333914A9EE7,EDD5EA465D26EB406D4BCE61DD215085F85A613F2F87DB534DE3EE37FD7EBBCA,Symantec Class 1 Public Primary Certification Authority - G6,Symantec Corporation,US,Symantec Trust Network
DigiCert Class 1 PCA - G3 OCSP Responder Certificate 8,DigiCert Inc.,US,,2019-11-21 => 2020-12-14,RSA 2048 / sha256WithRSAEncryption,36393fc051210a96f84d41b78c66019b,B58C0FC65FF7B704B104AE3DBD3620C9E6922997,548BAE8DD50B6C8F1AF16DDB18A1BD60322FE675E423A1A91552581004BD8E7B,VeriSign Class 1 Public Primary Certification Authority - G3,"VeriSign, Inc.",US,"VeriSign Trust Network,(c) 1999 VeriSign, Inc. - For authorized use only"
